,effective_at_utc,currency,gross,fee,net,reporting_category,balance_transaction_id,description,payout_expected_arrival_date,payout_status
0,2019-01-11 00:00:00,gbp,285.74,0.0,285.74,payout,txn_1DpRCfFRfR20eY7xy0XbCdKL,STRIPE PAYOUT,2019-01-11 00:00:00,paid
1,2019-01-14 00:00:00,gbp,221.65,0.0,221.65,payout,txn_1DqVtSFRfR20eY7xYnxAnVFK,STRIPE PAYOUT,2019-01-14 00:00:00,paid
2,2019-01-16 00:00:00,gbp,811.46,0.0,811.46,payout,txn_1DrEUUFRfR20eY7xkAOYpkLN,STRIPE PAYOUT,2019-01-16 00:00:00,paid
3,2019-01-17 00:00:00,gbp,43.18,0.0,43.18,payout,txn_1DrbMoFRfR20eY7xEzMpS8oV,STRIPE PAYOUT,2019-01-17 00:00:00,paid
4,2019-01-18 00:00:00,gbp,689.23,0.0,689.23,payout,txn_1DryMkFRfR20eY7xq67arpHy,STRIPE PAYOUT,2019-01-18 00:00:00,paid
5,2019-01-20 00:00:00,gbp,346.48,0.0,346.48,payout,txn_1DsgdWFRfR20eY7x0ctpL713,STRIPE PAYOUT,2019-01-21 00:00:00,paid
6,2019-01-21 00:00:00,gbp,488.45,0.0,488.45,payout,txn_1Dt2t4FRfR20eY7xIh1TjPIk,STRIPE PAYOUT,2019-01-21 00:00:00,paid
7,2019-01-22 00:00:00,gbp,825.17,0.0,825.17,payout,txn_1DtPVAFRfR20eY7xqr4vEcK5,STRIPE PAYOUT,2019-01-22 00:00:00,paid
8,2019-01-23 00:00:00,gbp,-143.26,0.0,-143.26,payout,txn_1Dtm1nFRfR20eY7xPZ0R23tc,STRIPE PAYOUT,2019-01-23 00:00:00,paid
9,2019-01-24 00:00:00,gbp,854.46,0.0,854.46,payout,txn_1Du8LyFRfR20eY7xRTqiv094,STRIPE PAYOUT,2019-01-24 00:00:00,paid
10,2019-01-26 00:00:00,gbp,270.95,0.0,270.95,payout,txn_1DurUIFRfR20eY7xd0LlnvhS,STRIPE PAYOUT,2019-01-28 00:00:00,paid
11,2019-01-28 00:00:00,gbp,177.28,0.0,177.28,payout,txn_1DvaDZFRfR20eY7xTzC7O5cP,STRIPE PAYOUT,2019-01-28 00:00:00,paid
12,2019-01-29 00:00:00,gbp,408.79,0.0,408.79,payout,txn_1DvwgsFRfR20eY7xpaxtmCLs,STRIPE PAYOUT,2019-01-29 00:00:00,paid
13,2019-01-30 00:00:00,gbp,-117.13,0.0,-117.13,payout,txn_1DwJkiFRfR20eY7xsBgzd3r3,STRIPE PAYOUT,2019-01-30 00:00:00,paid
14,2019-01-31 00:00:00,gbp,216.72,0.0,216.72,payout,txn_1DwfbLFRfR20eY7xMzR8oEkY,STRIPE PAYOUT,2019-01-31 00:00:00,paid
15,2019-02-01 00:00:00,gbp,162.49,0.0,162.49,payout,txn_1Dx21mFRfR20eY7xBBQ6HmC3,STRIPE PAYOUT,2019-02-01 00:00:00,paid
16,2019-02-03 00:00:00,gbp,430.68,0.0,430.68,payout,txn_1DxkzYFRfR20eY7xGLJ7dAYU,STRIPE PAYOUT,2019-02-04 00:00:00,paid
17,2019-02-04 00:00:00,gbp,1120.97,0.0,1120.97,payout,txn_1Dy7f0FRfR20eY7xRpcT7Wwa,STRIPE PAYOUT,2019-02-04 00:00:00,paid
18,2019-02-05 00:00:00,gbp,88.54,0.0,88.54,payout,txn_1DyUKOFRfR20eY7xYgCd4o73,STRIPE PAYOUT,2019-02-05 00:00:00,paid
19,2019-02-06 00:00:00,gbp,98.4,0.0,98.4,payout,txn_1DyqYQFRfR20eY7xCxoWnRzD,STRIPE PAYOUT,2019-02-06 00:00:00,paid
20,2019-02-07 00:00:00,gbp,339.77,0.0,339.77,payout,txn_1DzCvDFRfR20eY7xKnMRjrgX,STRIPE PAYOUT,2019-02-07 00:00:00,paid
21,2019-02-08 00:00:00,gbp,132.91,0.0,132.91,payout,txn_1DzZfhFRfR20eY7xRilNzj0t,STRIPE PAYOUT,2019-02-08 00:00:00,paid
22,2019-02-09 00:00:00,gbp,601.06,0.0,601.06,payout,txn_1DzvtfFRfR20eY7xJ53rTwPX,STRIPE PAYOUT,2019-02-11 00:00:00,paid
23,2019-02-10 00:00:00,gbp,162.29,0.0,162.29,payout,txn_1E0IkwFRfR20eY7xXZ7jevZ1,STRIPE PAYOUT,2019-02-11 00:00:00,paid
24,2019-02-11 00:00:00,gbp,448.23,0.0,448.23,payout,txn_1E0exwFRfR20eY7xg2HUyyUU,STRIPE PAYOUT,2019-02-11 00:00:00,paid
25,2019-02-13 00:00:00,gbp,344.7,0.0,344.7,payout,txn_1E1Nk1FRfR20eY7xn1aIowTx,STRIPE PAYOUT,2019-02-13 00:00:00,paid
26,2019-02-16 00:00:00,gbp,56.0,0.0,56.0,payout,txn_1E2TEYFRfR20eY7x6n5nsu11,STRIPE PAYOUT,2019-02-18 00:00:00,paid
27,2019-02-18 00:00:00,gbp,1336.02,0.0,1336.02,payout,txn_1E3CICFRfR20eY7xRMaZdHan,STRIPE PAYOUT,2019-02-18 00:00:00,paid
28,2019-02-19 00:00:00,gbp,162.49,0.0,162.49,payout,txn_1E3YayFRfR20eY7xg966rvDa,STRIPE PAYOUT,2019-02-19 00:00:00,paid
29,2019-02-21 00:00:00,gbp,393.8,0.0,393.8,payout,txn_1E4HiMFRfR20eY7xrgmH5Q7I,STRIPE PAYOUT,2019-02-21 00:00:00,paid
30,2019-02-22 00:00:00,gbp,521.78,0.0,521.78,payout,txn_1E4eN3FRfR20eY7xMfZuv0Q5,STRIPE PAYOUT,2019-02-22 00:00:00,paid
31,2019-02-24 00:00:00,gbp,-79.87,0.0,-79.87,payout,txn_1E5NI1FRfR20eY7xGJ7NAobI,STRIPE PAYOUT,2019-02-25 00:00:00,paid
32,2019-02-25 00:00:00,gbp,426.83,0.0,426.83,payout,txn_1E5jonFRfR20eY7xc113Uk2N,STRIPE PAYOUT,2019-02-25 00:00:00,paid
33,2019-02-26 00:00:00,gbp,-59.56,0.0,-59.56,payout,txn_1E66ECFRfR20eY7xh3AXDEwC,STRIPE PAYOUT,2019-02-26 00:00:00,paid
34,2019-02-27 00:00:00,gbp,334.44,0.0,334.44,payout,txn_1E6SVTFRfR20eY7x1kZzzuCZ,STRIPE PAYOUT,2019-02-27 00:00:00,paid
35,2019-02-28 00:00:00,gbp,1171.75,0.0,1171.75,payout,txn_1E6owYFRfR20eY7xulv07ImZ,STRIPE PAYOUT,2019-02-28 00:00:00,paid
36,2019-03-01 00:00:00,gbp,843.61,0.0,843.61,payout,txn_1E7BOiFRfR20eY7xhPFq7HlB,STRIPE PAYOUT,2019-03-01 00:00:00,paid
37,2019-03-02 00:00:00,gbp,1342.73,0.0,1342.73,payout,txn_1E7Y0sFRfR20eY7xG7CVZqJA,STRIPE PAYOUT,2019-03-04 00:00:00,paid
38,2019-03-03 00:00:00,gbp,283.77,0.0,283.77,payout,txn_1E7uTPFRfR20eY7x61TWfMeY,STRIPE PAYOUT,2019-03-04 00:00:00,paid
39,2019-03-09 00:00:00,gbp,351.11,0.0,351.11,payout,txn_1EA5hCFRfR20eY7xXNyhGCg8,STRIPE PAYOUT,2019-03-11 00:00:00,paid
40,2019-03-10 00:00:00,gbp,741.27,0.0,741.27,payout,txn_1EATOvFRfR20eY7xElo5XLQu,STRIPE PAYOUT,2019-03-11 00:00:00,paid
41,2019-03-11 00:00:00,gbp,725.1,0.0,725.1,payout,txn_1EAoCSFRfR20eY7xhIfjz5LU,STRIPE PAYOUT,2019-03-11 00:00:00,paid
42,2019-03-12 00:00:00,gbp,746.59,0.0,746.59,payout,txn_1EBAdVFRfR20eY7xNAMZNX5L,STRIPE PAYOUT,2019-03-12 00:00:00,paid
43,2019-03-13 00:00:00,gbp,1102.53,0.0,1102.53,payout,txn_1EBX6BFRfR20eY7xuQih84Gf,STRIPE PAYOUT,2019-03-13 00:00:00,paid
44,2019-03-14 00:00:00,gbp,661.84,0.0,661.84,payout,txn_1EBtgmFRfR20eY7xiqwxwOAA,STRIPE PAYOUT,2019-03-14 00:00:00,paid
45,2019-03-15 00:00:00,gbp,384.14,0.0,384.14,payout,txn_1ECHJKFRfR20eY7x8V8ROTVw,STRIPE PAYOUT,2019-03-15 00:00:00,paid
46,2019-03-16 00:00:00,gbp,241.37,0.0,241.37,payout,txn_1ECe24FRfR20eY7xS2mwjzM8,STRIPE PAYOUT,2019-03-18 00:00:00,paid
47,2019-03-18 00:00:00,gbp,132.91,0.0,132.91,payout,txn_1EDNURFRfR20eY7xUntTAsx9,STRIPE PAYOUT,2019-03-18 00:00:00,paid
48,2019-03-19 00:00:00,gbp,1196.4,0.0,1196.4,payout,txn_1EDjP5FRfR20eY7xvotLVBtY,STRIPE PAYOUT,2019-03-19 00:00:00,paid
49,2019-03-20 00:00:00,gbp,461.25,0.0,461.25,payout,txn_1EE5U1FRfR20eY7x1aQQ9rHW,STRIPE PAYOUT,2019-03-20 00:00:00,paid
50,2019-03-21 00:00:00,gbp,358.01,0.0,358.01,payout,txn_1EERkwFRfR20eY7x2ijoZWpr,STRIPE PAYOUT,2019-03-21 00:00:00,paid
51,2019-03-22 00:00:00,gbp,1045.83,0.0,1045.83,payout,txn_1EEozIFRfR20eY7xz1WfbbNQ,STRIPE PAYOUT,2019-03-22 00:00:00,paid
52,2019-03-23 00:00:00,gbp,380.2,0.0,380.2,payout,txn_1EFBdwFRfR20eY7xMn0Zc9tn,STRIPE PAYOUT,2019-03-25 00:00:00,paid
53,2019-03-24 00:00:00,gbp,1031.2,0.0,1031.2,payout,txn_1EFYdXFRfR20eY7xLMRrQNfK,STRIPE PAYOUT,2019-03-25 00:00:00,paid
54,2019-03-26 00:00:00,gbp,720.37,0.0,720.37,payout,txn_1EGFYFFRfR20eY7xY53Wylm4,STRIPE PAYOUT,2019-03-26 00:00:00,paid
55,2019-03-28 00:00:00,gbp,58.96,0.0,58.96,payout,txn_1EGyh9FRfR20eY7xFd1SNTMx,STRIPE PAYOUT,2019-03-28 00:00:00,paid
56,2019-03-29 00:00:00,gbp,1435.03,0.0,1435.03,payout,txn_1EHMAlFRfR20eY7xvgGjFZeo,STRIPE PAYOUT,2019-03-29 00:00:00,paid
57,2019-03-30 00:00:00,gbp,349.63,0.0,349.63,payout,txn_1EHinPFRfR20eY7xUgYxrvyu,STRIPE PAYOUT,2019-04-01 00:00:00,paid
58,2019-03-31 00:00:00,gbp,177.28,0.0,177.28,payout,txn_1EI51XFRfR20eY7xdFrn5QL8,STRIPE PAYOUT,2019-04-01 00:00:00,paid
59,2019-04-01 00:00:00,gbp,470.91,0.0,470.91,payout,txn_1EIQrXFRfR20eY7xELZbATnn,STRIPE PAYOUT,2019-04-01 00:00:00,paid
60,2019-04-02 00:00:00,gbp,1349.76,0.0,1349.76,payout,txn_1EInCzFRfR20eY7xsNonbimR,STRIPE PAYOUT,2019-04-02 00:00:00,paid
61,2019-04-03 00:00:00,gbp,1186.31,0.0,1186.31,payout,txn_1EJ97WFRfR20eY7xZXnFZpvS,STRIPE PAYOUT,2019-04-03 00:00:00,paid
62,2019-04-04 00:00:00,gbp,591.2,0.0,591.2,payout,txn_1EJVyEFRfR20eY7xaOffTwDf,STRIPE PAYOUT,2019-04-04 00:00:00,paid
63,2019-04-05 00:00:00,gbp,684.47,0.0,684.47,payout,txn_1EJtQZFRfR20eY7xsv3GGOiv,STRIPE PAYOUT,2019-04-05 00:00:00,paid
64,2019-04-06 00:00:00,gbp,58.96,0.0,58.96,payout,txn_1EKG2KFRfR20eY7xdiFc6mFI,STRIPE PAYOUT,2019-04-08 00:00:00,paid
65,2019-04-07 00:00:00,gbp,556.49,0.0,556.49,payout,txn_1EKcA6FRfR20eY7xvD10ZTQ4,STRIPE PAYOUT,2019-04-08 00:00:00,paid
66,2019-04-08 00:00:00,gbp,554.06,0.0,554.06,payout,txn_1EKxqaFRfR20eY7x9OeQ7HKP,STRIPE PAYOUT,2019-04-08 00:00:00,paid
67,2019-04-09 00:00:00,gbp,495.94,0.0,495.94,payout,txn_1ELK5VFRfR20eY7xk6F8wRPU,STRIPE PAYOUT,2019-04-09 00:00:00,paid
68,2019-04-10 00:00:00,gbp,710.1,0.0,710.1,payout,txn_1ELgSQFRfR20eY7xB7XTI4Cr,STRIPE PAYOUT,2019-04-10 00:00:00,paid
69,2019-04-11 00:00:00,gbp,218.25,0.0,218.25,payout,txn_1EM3LMFRfR20eY7xMd1n17aJ,STRIPE PAYOUT,2019-04-11 00:00:00,paid
70,2019-04-12 00:00:00,gbp,292.73,0.0,292.73,payout,txn_1EMQpVFRfR20eY7xUWqDNM2Q,STRIPE PAYOUT,2019-04-12 00:00:00,paid
71,2019-04-13 00:00:00,gbp,118.12,0.0,118.12,payout,txn_1EMnEyFRfR20eY7xCIYhXHG4,STRIPE PAYOUT,2019-04-15 00:00:00,paid
72,2019-04-14 00:00:00,gbp,83.41,0.0,83.41,payout,txn_1EN9RHFRfR20eY7xJ7ehPg4f,STRIPE PAYOUT,2019-04-15 00:00:00,paid
73,2019-04-15 00:00:00,gbp,742.43,0.0,742.43,payout,txn_1ENV6UFRfR20eY7xRoOBw4DC,STRIPE PAYOUT,2019-04-15 00:00:00,paid
74,2019-04-16 00:00:00,gbp,170.96,0.0,170.96,payout,txn_1ENralFRfR20eY7xYDA45EgY,STRIPE PAYOUT,2019-04-16 00:00:00,paid
75,2019-04-17 00:00:00,gbp,1521.17,0.0,1521.17,payout,txn_1EODxjFRfR20eY7xu3td4qhz,STRIPE PAYOUT,2019-04-17 00:00:00,paid
76,2019-04-18 00:00:00,gbp,44.17,0.0,44.17,payout,txn_1EOaMEFRfR20eY7xiAJZkhw6,STRIPE PAYOUT,2019-04-18 00:00:00,paid
77,2019-04-19 00:00:00,gbp,177.28,0.0,177.28,payout,txn_1EOy7yFRfR20eY7xZ4isVShT,STRIPE PAYOUT,2019-04-23 00:00:00,paid
78,2019-04-20 00:00:00,gbp,487.67,0.0,487.67,payout,txn_1EPKonFRfR20eY7xNIsPWRnY,STRIPE PAYOUT,2019-04-23 00:00:00,paid
79,2019-04-21 00:00:00,gbp,245.7,0.0,245.7,payout,txn_1EPghUFRfR20eY7xMlRQFFJb,STRIPE PAYOUT,2019-04-23 00:00:00,paid
80,2019-04-22 00:00:00,gbp,303.09,0.0,303.09,payout,txn_1EQ2jGFRfR20eY7xKpOW02Sc,STRIPE PAYOUT,2019-04-23 00:00:00,paid
81,2019-04-23 00:00:00,gbp,8.82,0.0,8.82,payout,txn_1EQP2sFRfR20eY7xtIrbfN91,STRIPE PAYOUT,2019-04-23 00:00:00,paid
82,2019-04-24 00:00:00,gbp,171.75,0.0,171.75,payout,txn_1EQlHaFRfR20eY7xImZBN9Zq,STRIPE PAYOUT,2019-04-24 00:00:00,paid
83,2019-04-28 00:00:00,gbp,1142.57,0.0,1142.57,payout,txn_1ESECaFRfR20eY7xeAH1YpJi,STRIPE PAYOUT,2019-04-29 00:00:00,paid
84,2019-04-30 00:00:00,gbp,2654.58,0.0,2654.58,payout,txn_1ESvzAFRfR20eY7xKt6NVKw1,STRIPE PAYOUT,2019-04-30 00:00:00,paid
85,2019-05-01 00:00:00,gbp,650.36,0.0,650.36,payout,txn_1ETIhWFRfR20eY7xxqGxinjX,STRIPE PAYOUT,2019-05-01 00:00:00,paid
86,2019-05-02 00:00:00,gbp,491.14,0.0,491.14,payout,txn_1ETgA0FRfR20eY7xRJmQWmM5,STRIPE PAYOUT,2019-05-02 00:00:00,paid
87,2019-05-03 00:00:00,gbp,291.46,0.0,291.46,payout,txn_1EU3KQFRfR20eY7xew3iz8PG,STRIPE PAYOUT,2019-05-03 00:00:00,paid
88,2019-05-04 00:00:00,gbp,177.28,0.0,177.28,payout,txn_1EUPiYFRfR20eY7xnkUFUCpM,STRIPE PAYOUT,2019-05-07 00:00:00,paid
89,2019-05-05 00:00:00,gbp,15.37,0.0,15.37,payout,txn_1EUmiFFRfR20eY7xJUAqdTE1,STRIPE PAYOUT,2019-05-07 00:00:00,paid
90,2019-05-06 00:00:00,gbp,609.93,0.0,609.93,payout,txn_1EV7N2FRfR20eY7xsct801Lk,STRIPE PAYOUT,2019-05-07 00:00:00,paid
91,2019-05-07 00:00:00,gbp,2336.09,0.0,2336.09,payout,txn_1EVTgIFRfR20eY7xtTzFtu5T,STRIPE PAYOUT,2019-05-07 00:00:00,paid
92,2019-05-08 00:00:00,gbp,256.16,0.0,256.16,payout,txn_1EVq80FRfR20eY7xczOoznbF,STRIPE PAYOUT,2019-05-08 00:00:00,paid
93,2019-05-09 00:00:00,gbp,236.24,0.0,236.24,payout,txn_1EWCHdFRfR20eY7xusG1ypif,STRIPE PAYOUT,2019-05-09 00:00:00,paid
94,2019-05-10 00:00:00,gbp,473.08,0.0,473.08,payout,txn_1EWaFnFRfR20eY7xQSIR7plk,STRIPE PAYOUT,2019-05-10 00:00:00,paid
95,2019-05-12 00:00:00,gbp,197.0,0.0,197.0,payout,txn_1EXKM4FRfR20eY7xXxiOxg3X,STRIPE PAYOUT,2019-05-13 00:00:00,paid
96,2019-05-13 00:00:00,gbp,1002.75,0.0,1002.75,payout,txn_1EXg8WFRfR20eY7xEs8xiAIA,STRIPE PAYOUT,2019-05-13 00:00:00,paid
97,2019-05-14 00:00:00,gbp,185.41,0.0,185.41,payout,txn_1EY268FRfR20eY7xberwGjB4,STRIPE PAYOUT,2019-05-14 00:00:00,paid
98,2019-05-15 00:00:00,gbp,989.93,0.0,989.93,payout,txn_1EYOUHFRfR20eY7xwFIdTJLM,STRIPE PAYOUT,2019-05-15 00:00:00,paid
99,2019-05-16 00:00:00,gbp,785.24,0.0,785.24,payout,txn_1EYkdwFRfR20eY7xS8fpaVwQ,STRIPE PAYOUT,2019-05-16 00:00:00,paid
